email	name	phone_Number	major
Marget.Marchant@duke.edu	Marget Marchant 	(758) 756-9842	Asian and Middle Eastern Studies
Alex.Blane@duke.edu	Alex Blane 	(758) 728-8744	Biology
Ruthann.Demaree@duke.edu	Ruthann Demaree 	(758) 157-4428	Biomedical Engineering*
Marlyn.Fleury@duke.edu	Marlyn Fleury 	(756) 981-1482	Biophysics
Erasmo.Goering@duke.edu	Erasmo Goering 	(755) 728-9293	Brazilian and Global Portuguese Studies
Julieta.Schriver@duke.edu	Julieta Schriver 	(754) 944-1561	Canadian Studies**
Bibi.Mauch@duke.edu	Bibi Mauch 	(754) 326-8192	Chemistry
Kandi.Haislip@duke.edu	Kandi Haislip 	(752) 601-4574	Civil Engineering*
Charity.Brignac@duke.edu	Charity Brignac 	(752) 454-7558	Classical Civilization
Golden.Dazey@duke.edu	Golden Dazey 	(751) 776-6220	Classical Languages
Jonna.Mantooth@duke.edu	Jonna Mantooth 	(750) 310-6994	Computer Science
Florance.Trinkle@duke.edu	Florance Trinkle 	(748) 949-1887	Cultural Anthropology
Kimberely.Guerrera@duke.edu	Kimberely Guerrera 	(747) 439-9811	Dance
Usha.Guernsey@duke.edu	Usha Guernsey 	(745) 455-2750	Earth and Ocean Sciences
Willy.Liverman@duke.edu	Willy Liverman 	(743) 524-7822	Economics
Serita.Murdoch@duke.edu	Serita Murdoch 	(742) 834-1218	Electrical and Computer Engineering*
Rubi.Nesmith@duke.edu	Rubi Nesmith 	(741) 496-7150	English
Amee.Sabb@duke.edu	Amee Sabb 	(740) 813-8529	Environmental Engineering*
Lillian.Straw@duke.edu	Lillian Straw 	(740) 786-6545	Environmental Sciences
Cletus.Jager@duke.edu	Cletus Jager 	(740) 604-5051	Environmental Sciences and Policy
Cesar.Deblasio@duke.edu	Cesar Deblasio 	(739) 306-6200	Evolutionary Anthropology
Eda.Motton@duke.edu	Eda Motton 	(738) 973-3151	French Studies
Sherilyn.Shick@duke.edu	Sherilyn Shick 	(737) 869-5033	German
Jeremiah.Soderman@duke.edu	Jeremiah Soderman 	(737) 100-2708	Global Cultural Studies
Jay.Fleeman@duke.edu	Jay Fleeman 	(735) 882-9848	Global Health**
Genaro.Matley@duke.edu	Genaro Matley 	(734) 718-2030	History
Cammie.Foor@duke.edu	Cammie Foor 	(734) 232-9835	Interdepartmental Major
Tamisha.Berryman@duke.edu	Tamisha Berryman 	(734) 224-1838	International Comparative Studies
Daren.Whiteford@duke.edu	Daren Whiteford 	(733) 505-3035	Italian Studies
Dianna.Eichelberger@duke.edu	Dianna Eichelberger 	(732) 971-8983	Linguistics
Carlee.Craney@duke.edu	Carlee Craney 	(731) 124-5208	Mathematics
Wilber.Sharpe@duke.edu	Wilber Sharpe 	(730) 702-8789	Mechanical Engineering*
Arielle.Blais@duke.edu	Arielle Blais 	(730) 334-2731	Medieval and Renaissance Studies
Guillermina.Grieve@duke.edu	Guillermina Grieve 	(729) 919-5458	Music
Page.Severns@duke.edu	Page Severns 	(728) 908-4649	Neuroscience
Christin.Chumbley@duke.edu	Christin Chumbley 	(728) 381-5869	Philosophy
Jennifer.Andino@duke.edu	Jennifer Andino 	(728) 353-7763	Physics
Nakia.Fleckenstein@duke.edu	Nakia Fleckenstein 	(723) 938-6865	Political Science
Reta.Lanham@duke.edu	Reta Lanham 	(723) 596-3323	"Program II (self-designed degree, BA or BS)"
Lura.Patnaude@duke.edu	Lura Patnaude 	(723) 392-3504	Psychology
Earle.Polanco@duke.edu	Earle Polanco 	(722) 475-1424	Public Policy Studies
Lisbeth.Burditt@duke.edu	Lisbeth Burditt 	(721) 902-5657	Religious Studies
Cindi.Klahn@duke.edu	Cindi Klahn 	(721) 654-4263	Romance Studies
Marshall.Yoakum@duke.edu	Marshall Yoakum 	(721) 398-5022	Russian
Long.Youmans@duke.edu	Long Youmans 	(720) 646-7647	Slavic and Eurasian Studies
Bernard.Bown@duke.edu	Bernard Bown 	(720) 609-4404	Sociology
Wilma.Falkowski@duke.edu	Wilma Falkowski 	(720) 167-1463	"Spanish, Latin American, and Latino/a Studies"
Felisha.Flanery@duke.edu	Felisha Flanery 	(719) 609-1833	Statistical Science
Crissy.Alban@duke.edu	Crissy Alban 	(718) 611-8832	Theater Studies
Maris.Ingham@duke.edu	Maris Ingham 	(717) 326-1809	Visual Arts
Gillian.Stalcup@duke.edu	Gillian Stalcup 	(716) 557-6873	Visual and Media Studies
Dawna.Larue@duke.edu	Dawna Larue 	(715) 372-8864	Women's Studies
Virgina.Whittenberg@duke.edu	Virgina Whittenberg 	(715) 662-5218	African and African American Studies
Catalina.Pardue@duke.edu	Catalina Pardue 	(715) 641-6544	Art History
Cecily.Mattos@duke.edu	Cecily Mattos 	(714) 899-4381	Asian and Middle Eastern Studies
Dorian.Morel@duke.edu	Dorian Morel 	(713) 737-9397	Biology
Tomoko.Lewter@duke.edu	Tomoko Lewter 	(712) 739-3026	Biomedical Engineering*
Alejandra.Rodman@duke.edu	Alejandra Rodman 	(712) 434-7374	Biophysics
Darwin.Lucchesi@duke.edu	Darwin Lucchesi 	(711) 836-6591	Brazilian and Global Portuguese Studies
Georgeann.Glowacki@duke.edu	Georgeann Glowacki 	(711) 539-4698	Canadian Studies**
Julian.Rowse@duke.edu	Julian Rowse 	(711) 349-7038	Chemistry
Vanesa.Metzgar@duke.edu	Vanesa Metzgar 	(711) 295-3859	Civil Engineering*
Ngoc.Levert@duke.edu	Ngoc Levert 	(720) 990-9832	Classical Civilization
Latashia.Matte@duke.edu	Latashia Matte 	(720) 284-3726	Classical Languages
Antonia.Rentz@duke.edu	Antonia Rentz 	(699) 921-8208	Computer Science
Ramiro.Hilger@duke.edu	Ramiro Hilger 	(699) 341-1805	Cultural Anthropology
Morgan.Parenti@duke.edu	Morgan Parenti 	(699) 195-9557	Dance
Kathryne.Littlefield@duke.edu	Kathryne Littlefield 	(698) 291-6323	Earth and Ocean Sciences
Billy.Dray@duke.edu	Billy Dray 	(697) 438-2681	Economics
Shanell.Kaster@duke.edu	Shanell Kaster 	(695) 744-3925	Electrical and Computer Engineering*
Salvador.Luther@duke.edu	Salvador Luther 	(693) 197-1903	English
Brande.Saltz@duke.edu	Brande Saltz 	(690) 855-5939	Environmental Engineering*
Consuelo.Hannahs@duke.edu	Consuelo Hannahs 	(690) 579-9614	Environmental Sciences
Yesenia.Mathieson@duke.edu	Yesenia Mathieson 	(689) 957-1190	Environmental Sciences and Policy
Hong.Mellor@duke.edu	Hong Mellor 	(689) 781-4129	Evolutionary Anthropology
Olin.Gauna@duke.edu	Olin Gauna 	(688) 444-8496	French Studies
Rosina.Morriss@duke.edu	Rosina Morriss 	(687) 728-3035	German
Genevieve.Fulton@duke.edu	Genevieve Fulton 	(686) 999-9546	Global Cultural Studies
Elden.Shuster@duke.edu	Elden Shuster 	(685) 744-3202	Global Health**
Camie.Packard@duke.edu	Camie Packard 	(685) 572-4572	History
Lesia.Liddell@duke.edu	Lesia Liddell 	(685) 550-8866	Interdepartmental Major
Gregory.Click@duke.edu	Gregory Click 	(685) 393-4042	International Comparative Studies
Clarinda.Reagle@duke.edu	Clarinda Reagle 	(685) 200-9096	Italian Studies
Hiram.Ramthun@duke.edu	Hiram Ramthun 	(684) 653-6404	Linguistics
Hubert.Stacey@duke.edu	Hubert Stacey 	(684) 286-1459	Mathematics
Freeman.Mccaleb@duke.edu	Freeman Mccaleb 	(683) 607-3007	Mechanical Engineering*
Laurene.Arvizu@duke.edu	Laurene Arvizu 	(682) 557-1712	Medieval and Renaissance Studies
Doris.Swindell@duke.edu	Doris Swindell 	(682) 284-9019	Music
Sona.Tomlin@duke.edu	Sona Tomlin 	(681) 794-6084	Neuroscience
Ossie.Beckley@duke.edu	Ossie Beckley 	(681) 133-8286	Philosophy
Maryrose.Mollica@duke.edu	Maryrose Mollica 	(680) 221-6156	Physics
Lakisha.Torres@duke.edu	Lakisha Torres 	(680) 973-1301	Political Science
Yon.Kenan@duke.edu	Yon Kenan 	(680) 739-3921	"Program II (self-designed degree, BA or BS)"
Jaqueline.Hickson@duke.edu	Jaqueline Hickson 	(680) 458-4572	Psychology
Harry.Stegall@duke.edu	Harry Stegall 	(678) 824-7073	Public Policy Studies
Marilou.Pahl@duke.edu	Marilou Pahl 	(676) 812-8629	Religious Studies
Dorthea.Vantrease@duke.edu	Dorthea Vantrease 	(676) 431-6747	Romance Studies
Jennifer.Perrotti@duke.edu	Jennifer Perrotti 	(674) 856-2009	Russian
Jerlene.Wachter@duke.edu	Jerlene Wachter 	(674) 654-4593	Slavic and Eurasian Studies
Monroe.Hyde@duke.edu	Monroe Hyde 	(674) 312-6772	Sociology
Norman.Meggs@duke.edu	Norman Meggs 	(672) 537-4774	"Spanish, Latin American, and Latino/a Studies"
Jerrod.Mui@duke.edu	Jerrod Mui 	(672) 811-7943	Statistical Science
Avril.Whetzel@duke.edu	Avril Whetzel 	(672) 341-6759	Theater Studies
Kristel.Counce@duke.edu	Kristel Counce 	(672) 330-3102	Visual Arts
Barbra.Podesta@duke.edu	Barbra Podesta 	(668) 859-3193	Visual and Media Studies
Londa.Gadison@duke.edu	Londa Gadison 	(667) 912-4865	Women's Studies
Kala.Shumpert@duke.edu	Kala Shumpert 	(667) 194-1612	African and African American Studies
Digna.Noone@duke.edu	Digna Noone 	(666) 613-8655	Art History
Roscoe.Flansburg@duke.edu	Roscoe Flansburg 	(665) 134-1175	Asian and Middle Eastern Studies
Elaine.Redrick@duke.edu	Elaine Redrick 	(664) 979-5889	Biology
Nan.Persinger@duke.edu	Nan Persinger 	(663) 962-7234	Biomedical Engineering*
Brent.Bowman@duke.edu	Brent Bowman 	(663) 362-3454	Biophysics
Mac.Fraga@duke.edu	Mac Fraga 	(662) 187-9615	Brazilian and Global Portuguese Studies
Charleen.Shiley@duke.edu	Charleen Shiley 	(662) 134-4224	Canadian Studies**
Sherlene.Lanphere@duke.edu	Sherlene Lanphere 	(662) 124-5078	Chemistry
Cherie.Doggett@duke.edu	Cherie Doggett 	(661) 200-3114	Civil Engineering*
Anya.Bartol@duke.edu	Anya Bartol 	(661) 119-9795	Classical Civilization
Jeffry.Dickinson@duke.edu	Jeffry Dickinson 	(661) 836-5751	Classical Languages
Classie.Surratt@duke.edu	Classie Surratt 	(661) 759-9988	Computer Science
Kirsten.Kaestner@duke.edu	Kirsten Kaestner 	(657) 989-3026	Cultural Anthropology
Roselle.Coard@duke.edu	Roselle Coard 	(657) 608-2802	Dance
Adelle.Lessman@duke.edu	Adelle Lessman 	(657) 557-3535	Earth and Ocean Sciences
Julie.Korth@duke.edu	Julie Korth 	(657) 381-5177	Economics
Domingo.Chesnutt@duke.edu	Domingo Chesnutt 	(656) 405-8320	Electrical and Computer Engineering*
Colby.Oshiro@duke.edu	Colby Oshiro 	(655) 130-7333	English
Aubrey.Wiseley@duke.edu	Aubrey Wiseley 	(654) 225-8124	Environmental Engineering*
Jalisa.Cripps@duke.edu	Jalisa Cripps 	(653) 940-6648	Environmental Sciences
Bethany.Montrose@duke.edu	Bethany Montrose 	(653) 781-6963	Environmental Sciences and Policy
Yuki.Brassard@duke.edu	Yuki Brassard 	(653) 759-2246	Evolutionary Anthropology
Anjelica.Markert@duke.edu	Anjelica Markert 	(653) 522-8543	French Studies
Lulu.Rubi@duke.edu	Lulu Rubi 	(649) 877-9113	German
Melinda.Hearon@duke.edu	Melinda Hearon 	(648) 894-8544	Global Cultural Studies
Katrice.Jang@duke.edu	Katrice Jang 	(647) 781-7142	Global Health**
Desmond.Rupp@duke.edu	Desmond Rupp 	(647) 422-7095	History
Evelina.Koogler@duke.edu	Evelina Koogler 	(646) 757-6382	Interdepartmental Major
Jackie.Eger@duke.edu	Jackie Eger 	(645) 880-5351	International Comparative Studies
Leesa.Rommel@duke.edu	Leesa Rommel 	(644) 388-6046	Italian Studies
Dakota.Bossi@duke.edu	Dakota Bossi 	(643) 162-8017	Linguistics
Dian.Butters@duke.edu	Dian Butters 	(639) 833-1308	Mathematics
Filomena.Russum@duke.edu	Filomena Russum 	(638) 363-8269	Mechanical Engineering*
Twila.Wahlen@duke.edu	Twila Wahlen 	(638) 250-4198	Medieval and Renaissance Studies
Cheree.Noles@duke.edu	Cheree Noles 	(637) 945-5615	Music
Josiah.Cantero@duke.edu	Josiah Cantero 	(636) 036-1705	Neuroscience
Gearldine.Blumer@duke.edu	Gearldine Blumer 	(633) 674-7661	Philosophy
Nakita.Partee@duke.edu	Nakita Partee 	(633) 571-4491	Physics
Carmel.Cottle@duke.edu	Carmel Cottle 	(631) 416-3119	Political Science
Arline.Sutherlin@duke.edu	Arline Sutherlin 	(630) 782-5338	"Program II (self-designed degree, BA or BS)"
Georgia.Hoyte@duke.edu	Georgia Hoyte 	(628) 492-7685	Psychology
Lashunda.Coderre@duke.edu	Lashunda Coderre 	(628) 465-3677	Public Policy Studies
Alena.Giraldo@duke.edu	Alena Giraldo 	(628) 420-8524	Religious Studies
Charlette.Lieu@duke.edu	Charlette Lieu 	(627) 944-6283	Romance Studies
Celestina.Weiss@duke.edu	Celestina Weiss 	(627) 394-6396	Russian
Kathie.Chaffins@duke.edu	Kathie Chaffins 	(626) 396-4700	Slavic and Eurasian Studies
Alla.Tenenbaum@duke.edu	Alla Tenenbaum 	(622) 925-2558	Sociology
Melissia.Philippi@duke.edu	Melissia Philippi 	(622) 202-2723	"Spanish, Latin American, and Latino/a Studies"
Bobby.Ryer@duke.edu	Bobby Ryer 	(621) 728-3724	Statistical Science
Sheldon.Liebel@duke.edu	Sheldon Liebel 	(620) 325-2593	Theater Studies
Herb.Lembke@duke.edu	Herb Lembke 	(620) 930-3858	Visual Arts
Audra.Frix@duke.edu	Audra Frix 	(619) 352-6064	Visual and Media Studies
Laurena.Cummings@duke.edu	Laurena Cummings 	(619) 182-2983	Women's Studies
Valeria.Fegan@duke.edu	Valeria Fegan 	(618) 833-1394	African and African American Studies
Digna.Toribio@duke.edu	Digna Toribio 	(617) 787-5135	Art History
Annie.Keep@duke.edu	Annie Keep 	(617) 602-7999	Asian and Middle Eastern Studies
Israel.Odowd@duke.edu	Israel Odowd 	(617) 175-5795	Biology
Antonina.Riser@duke.edu	Antonina Riser 	(616) 267-5561	Biomedical Engineering*
Jana.Archambault@duke.edu	Jana Archambault 	(614) 686-3152	Biophysics
Agustin.Metayer@duke.edu	Agustin Metayer 	(613) 695-4523	Brazilian and Global Portuguese Studies
Danyelle.Cai@duke.edu	Danyelle Cai 	(611) 655-4401	Canadian Studies**
Sherrill.Emily@duke.edu	Sherrill Emily 	(610) 576-8529	Chemistry
Delorse.Tolar@duke.edu	Delorse Tolar 	(610) 929-4198	Civil Engineering*
Selma.Burrows@duke.edu	Selma Burrows 	(610) 502-9543	Classical Civilization
Salome.Nale@duke.edu	Salome Nale 	(610) 187-9292	Classical Languages
Karl.Province@duke.edu	Karl Province 	(599) 989-4189	Computer Science
Violeta.Cerulli@duke.edu	Violeta Cerulli 	(599) 265-7090	Cultural Anthropology
Rubin.Miltenberger@duke.edu	Rubin Miltenberger 	(598) 955-9104	Dance
Julieta.Wesson@duke.edu	Julieta Wesson 	(598) 572-6541	Earth and Ocean Sciences
Kasi.Sulton@duke.edu	Kasi Sulton 	(598) 484-7172	Economics
Cinthia.Lindahl@duke.edu	Cinthia Lindahl 	(596) 748-6202	Electrical and Computer Engineering*
Eliana.Cordeiro@duke.edu	Eliana Cordeiro 	(596) 643-1585	English
Migdalia.Sprvill@duke.edu	Migdalia Sprvill 	(595) 589-8327	Environmental Engineering*
Meagan.Hathaway@duke.edu	Meagan Hathaway 	(595) 266-3331	Environmental Sciences
Louisa.Emrick@duke.edu	Louisa Emrick 	(594) 705-4356	Environmental Sciences and Policy
Amie.Cheesman@duke.edu	Amie Cheesman 	(594) 402-7185	Evolutionary Anthropology
Arlette.Jacoby@duke.edu	Arlette Jacoby 	(593) 493-9774	French Studies
Felicidad.Riedel@duke.edu	Felicidad Riedel 	(592) 777-9712	German
Ethan.Southwood@duke.edu	Ethan Southwood 	(591) 344-2538	Global Cultural Studies
Edmund.Mounce@duke.edu	Edmund Mounce 	(590) 628-4073	Global Health**
Blake.Fenner@duke.edu	Blake Fenner 	(589) 971-6503	History
Carlyn.Lesko@duke.edu	Carlyn Lesko 	(589) 167-2023	Interdepartmental Major
Mayra.Mullenax@duke.edu	Mayra Mullenax 	(588) 662-9078	International Comparative Studies
Suk.Mcclaine@duke.edu	Suk Mcclaine 	(588) 293-8166	Italian Studies
Bernardina.Wasko@duke.edu	Bernardina Wasko 	(587) 588-7866	Linguistics
Lee.Branstetter@duke.edu	Lee Branstetter 	(587) 457-2571	Mathematics
Mimi.Maynard@duke.edu	Mimi Maynard 	(586) 720-4357	Mechanical Engineering*
Denyse.Rochell@duke.edu	Denyse Rochell 	(586) 713-8771	Medieval and Renaissance Studies
Bill.Dortch@duke.edu	Bill Dortch 	(586) 522-7939	Music
Jacelyn.Gautier@duke.edu	Jacelyn Gautier 	(585) 764-7106	Neuroscience
Virginia.Lizaola@duke.edu	Virginia Lizaola 	(585) 328-1126	Philosophy
Reatha.Byrom@duke.edu	Reatha Byrom 	(585) 181-6165	Physics
Allyson.Sgro@duke.edu	Allyson Sgro 	(584) 803-2820	Political Science
Lawrence.Scarborough@duke.edu	Lawrence Scarborough 	(584) 735-3052	"Program II (self-designed degree, BA or BS)"
Ebonie.Tuohy@duke.edu	Ebonie Tuohy 	(584) 250-8735	Psychology
Cristen.Faulcon@duke.edu	Cristen Faulcon 	(583) 352-1092	Public Policy Studies
Shira.Shumake@duke.edu	Shira Shumake 	(581) 346-9126	Religious Studies
Evangeline.Gokey@duke.edu	Evangeline Gokey 	(580) 983-2667	Romance Studies
Angelica.Coney@duke.edu	Angelica Coney 	(580) 273-6429	Russian
Jeneva.Vanderpool@duke.edu	Jeneva Vanderpool 	(580) 416-9063	Slavic and Eurasian Studies
Claretta.Orona@duke.edu	Claretta Orona 	(579) 935-4437	Sociology
Filomena.Younger@duke.edu	Filomena Younger 	(578) 690-6483	"Spanish, Latin American, and Latino/a Studies"
Garfield.Crossett@duke.edu	Garfield Crossett 	(578) 125-5302	Statistical Science
Sabine.Sowa@duke.edu	Sabine Sowa 	(576) 588-4278	Theater Studies
Ricky.Bartos@duke.edu	Ricky Bartos 	(575) 796-7769	Visual Arts
Rikki.Lawerence@duke.edu	Rikki Lawerence 	(574) 958-3151	Visual and Media Studies
Hermine.Mcgilvery@duke.edu	Hermine Mcgilvery 	(574) 461-4133	Women's Studies
Janiece.Viera@duke.edu	Janiece Viera 	(573) 918-4250	African and African American Studies
Deb.Leatherwood@duke.edu	Deb Leatherwood 	(573) 694-5259	Art History
Contessa.Colangelo@duke.edu	Contessa Colangelo 	(573) 527-2634	Asian and Middle Eastern Studies
Ramona.Maffei@duke.edu	Ramona Maffei 	(573) 476-7277	Biology
Olevia.Hiney@duke.edu	Olevia Hiney 	(573) 388-7376	Biomedical Engineering*
Kanesha.Duell@duke.edu	Kanesha Duell 	(572) 861-5167	Biophysics
Tamiko.Eggert@duke.edu	Tamiko Eggert 	(571) 664-9584	Brazilian and Global Portuguese Studies
Jalisa.Guerrero@duke.edu	Jalisa Guerrero 	(571) 637-6603	Canadian Studies**
Ophelia.Fackler@duke.edu	Ophelia Fackler 	(571) 471-9113	Chemistry
Jovan.Shawn@duke.edu	Jovan Shawn 	(570) 333-9666	Civil Engineering*
Effie.Berryhill@duke.edu	Effie Berryhill 	(570) 704-9407	Classical Civilization
Joleen.Reinbold@duke.edu	Joleen Reinbold 	(569) 269-7773	Classical Languages
Libbie.Budd@duke.edu	Libbie Budd 	(568) 704-2007	Computer Science
Frederick.Irick@duke.edu	Frederick Irick 	(568) 350-4454	Cultural Anthropology
Eddy.Pizano@duke.edu	Eddy Pizano 	(568) 132-6936	Dance
Anissa.Durrell@duke.edu	Anissa Durrell 	(565) 504-5495	Earth and Ocean Sciences
Dollie.Wetmore@duke.edu	Dollie Wetmore 	(565) 475-9427	Economics
Maximina.Pauli@duke.edu	Maximina Pauli 	(564) 834-1583	Electrical and Computer Engineering*
Hortensia.Prichett@duke.edu	Hortensia Prichett 	(564) 336-6810	English
Sharita.Straughan@duke.edu	Sharita Straughan 	(564) 219-1108	Environmental Engineering*
Renata.Hermes@duke.edu	Renata Hermes 	(563) 595-2019	Environmental Sciences
Fae.Gladwin@duke.edu	Fae Gladwin 	(562) 885-5924	Environmental Sciences and Policy
Iesha.Book@duke.edu	Iesha Book 	(562) 479-6883	Evolutionary Anthropology
Chae.Deshong@duke.edu	Chae Deshong 	(561) 794-6005	French Studies
Howard.Forshee@duke.edu	Howard Forshee 	(561) 578-6266	German
Lakesha.Axel@duke.edu	Lakesha Axel 	(561) 535-4896	Global Cultural Studies
Roseanne.Rocca@duke.edu	Roseanne Rocca 	(560) 964-8892	Global Health**
Ailene.Grice@duke.edu	Ailene Grice 	(560) 727-2048	History
Sage.Lorenzana@duke.edu	Sage Lorenzana 	(559) 867-2837	Interdepartmental Major
Dylan.Classen@duke.edu	Dylan Classen 	(559) 437-9841	International Comparative Studies
Jasmin.Adkisson@duke.edu	Jasmin Adkisson 	(558) 986-3333	Italian Studies
Kristyn.Huffine@duke.edu	Kristyn Huffine 	(558) 857-6060	Linguistics
Nelida.Guarino@duke.edu	Nelida Guarino 	(557) 858-3688	Mathematics
Kenia.Traynor@duke.edu	Kenia Traynor 	(557) 822-3506	Mechanical Engineering*
Christinia.Nordstrom@duke.edu	Christinia Nordstrom 	(556) 950-4604	Medieval and Renaissance Studies
Liberty.Wasser@duke.edu	Liberty Wasser 	(556) 352-4099	Music
Nicolas.Bolduc@duke.edu	Nicolas Bolduc 	(555) 656-5762	Neuroscience
Bertram.Lafond@duke.edu	Bertram Lafond 	(554) 935-9976	Philosophy
Camille.Bodin@duke.edu	Camille Bodin 	(553) 424-8664	Physics
Georgette.James@duke.edu	Georgette James 	(552) 747-4675	Political Science
Karey.Sewell@duke.edu	Karey Sewell 	(552) 502-2233	"Program II (self-designed degree, BA or BS)"
Rosanna.Dagostino@duke.edu	Rosanna Dagostino 	(550) 496-3462	Psychology
Ashleigh.Deering@duke.edu	Ashleigh Deering 	(550) 422-5549	Public Policy Studies
Macy.Clow@duke.edu	Macy Clow 	(550) 280-6387	Religious Studies
Stephanie.Pizano@duke.edu	Stephanie Pizano 	(550) 590-8877	Romance Studies
Tena.Goosby@duke.edu	Tena Goosby 	(550) 437-5348	Russian
Roxane.Pleasant@duke.edu	Roxane Pleasant 	(548) 978-7717	Slavic and Eurasian Studies
Kathryn.Hamernik@duke.edu	Kathryn Hamernik 	(548) 862-4534	Sociology
Doretta.Westergard@duke.edu	Doretta Westergard 	(548) 354-2612	"Spanish, Latin American, and Latino/a Studies"
Walker.Manalo@duke.edu	Walker Manalo 	(547) 526-8601	Statistical Science
Michele.Maharaj@duke.edu	Michele Maharaj 	(547) 314-2325	Theater Studies
Juan.Milici@duke.edu	Juan Milici 	(545) 348-7798	Visual Arts
Winifred.Zuckerman@duke.edu	Winifred Zuckerman 	(544) 623-2189	Visual and Media Studies
Dominick.Laplante@duke.edu	Dominick Laplante 	(544) 618-3208	Women's Studies
Deana.Radigan@duke.edu	Deana Radigan 	(544) 513-7352	African and African American Studies
Rodolfo.Dove@duke.edu	Rodolfo Dove 	(543) 868-8103	Art History
Douglas.Mann@duke.edu	Douglas Mann 	(543) 836-5199	Asian and Middle Eastern Studies
Sharri.Berryhill@duke.edu	Sharri Berryhill 	(542) 665-9025	Biology
Marina.Amore@duke.edu	Marina Amore 	(541) 812-8125	Biomedical Engineering*
Shanna.Haley@duke.edu	Shanna Haley 	(541) 477-4088	Biophysics
Natalia.Bartlett@duke.edu	Natalia Bartlett 	(541) 203-4766	Brazilian and Global Portuguese Studies
Meg.Deines@duke.edu	Meg Deines 	(540) 967-2118	Canadian Studies**
Marisela.Oxford@duke.edu	Marisela Oxford 	(540) 719-1150	Chemistry
Ilse.Jacinto@duke.edu	Ilse Jacinto 	(540) 620-1777	Civil Engineering*
Jack.Valencia@duke.edu	Jack Valencia 	(540) 426-2887	Classical Civilization
Palmira.Kircher@duke.edu	Palmira Kircher 	(539) 925-3081	Classical Languages
Shonda.Bohannon@duke.edu	Shonda Bohannon 	(538) 899-4693	Computer Science
Cleveland.Holiday@duke.edu	Cleveland Holiday 	(538) 745-9645	Cultural Anthropology
Serita.Robnett@duke.edu	Serita Robnett 	(538) 488-8213	Dance
Nettie.Arata@duke.edu	Nettie Arata 	(538) 399-8653	Earth and Ocean Sciences
Jermaine.Penhollow@duke.edu	Jermaine Penhollow 	(537) 307-4958	Economics
Elton.Polo@duke.edu	Elton Polo 	(536) 720-2200	Electrical and Computer Engineering*
Cira.Harpe@duke.edu	Cira Harpe 	(536) 645-5076	English
Dannielle.Eacret@duke.edu	Dannielle Eacret 	(536) 442-5895	Environmental Engineering*
Vennie.Rutland@duke.edu	Vennie Rutland 	(535) 814-9945	Environmental Sciences
Lezlie.Larocque@duke.edu	Lezlie Larocque 	(535) 466-9121	Environmental Sciences and Policy
Martina.Moodie@duke.edu	Martina Moodie 	(535) 137-3067	Evolutionary Anthropology
Valentine.Mckern@duke.edu	Valentine Mckern 	(534) 824-9256	French Studies
Emil.Jeffries@duke.edu	Emil Jeffries 	(533) 921-6233	German
Jodee.Pichette@duke.edu	Jodee Pichette 	(533) 833-7495	Global Cultural Studies
Leisha.Tullis@duke.edu	Leisha Tullis 	(528) 740-9066	Global Health**
Soon.Kennell@duke.edu	Soon Kennell 	(528) 695-3075	History
Ozell.Gillison@duke.edu	Ozell Gillison 	(527) 176-1022	Interdepartmental Major
Cristie.Bello@duke.edu	Cristie Bello 	(526) 420-1853	International Comparative Studies
Aida.Silverberg@duke.edu	Aida Silverberg 	(524) 527-7201	Italian Studies
Leana.Gassett@duke.edu	Leana Gassett 	(524) 350-2903	Linguistics
Rhea.Beech@duke.edu	Rhea Beech 	(522) 449-2467	Mathematics
Vennie.Barnwell@duke.edu	Vennie Barnwell 	(522) 183-3478	Mechanical Engineering*
Doug.Atwater@duke.edu	Doug Atwater 	(522) 161-1758	Medieval and Renaissance Studies
Marion.Simek@duke.edu	Marion Simek 	(520) 892-1865	Music
Gwyneth.Doles@duke.edu	Gwyneth Doles 	(520) 817-6480	Neuroscience
Caroll.Bankston@duke.edu	Caroll Bankston 	(520) 736-6937	Philosophy
Maragaret.Pardee@duke.edu	Maragaret Pardee 	(520) 499-3470	Physics
Margarett.Wasmund@duke.edu	Margarett Wasmund 	(520) 421-8043	Political Science
Hayden.Gines@duke.edu	Hayden Gines 	(519) 943-6072	"Program II (self-designed degree, BA or BS)"
Deloras.Modisette@duke.edu	Deloras Modisette 	(519) 748-7454	Psychology
Dung.Mcconville@duke.edu	Dung Mcconville 	(519) 550-4786	Public Policy Studies
Isabell.Heap@duke.edu	Isabell Heap 	(519) 184-1386	Religious Studies
Alease.Pekar@duke.edu	Alease Pekar 	(519) 170-5555	Romance Studies
Parker.Mccabe@duke.edu	Parker Mccabe 	(518) 852-3817	Russian
Delorse.Hindle@duke.edu	Delorse Hindle 	(516) 176-6667	Slavic and Eurasian Studies
Salome.Remus@duke.edu	Salome Remus 	(516) 172-4416	Sociology
Margy.Thiele@duke.edu	Margy Thiele 	(515) 961-3507	"Spanish, Latin American, and Latino/a Studies"
Beatriz.Gilkes@duke.edu	Beatriz Gilkes 	(515) 788-8339	Statistical Science
Laurinda.Louden@duke.edu	Laurinda Louden 	(515) 674-3088	Theater Studies
Micah.Maust@duke.edu	Micah Maust 	(514) 287-6632	Visual Arts
Marquitta.Knowles@duke.edu	Marquitta Knowles 	(513) 535-2336	Visual and Media Studies
Rosa.Gentry@duke.edu	Rosa Gentry 	(512) 156-9049	Women's Studies
